,Current Name,Facility Street1,Facility City,Zip Code,Geographic Area Name
173,Pines Nursing and Rehab,610 Dutchmans Lane,Easton,21601,Talbot County
174,Bayleigh Chase,501 Dutchmans Lane,Easton,21601,Talbot County
175,"Complete Care at Hagerstown, LLC",14014 Marsh Pike,Hagerstown,21742,Washington County
176,Coffman Nursing Home by Fahrney-Keedy,1304 Pennsylvania Avenue,Hagerstown,21742,Washington County
177,Hagerstown Healthcare Center,750 Dual Highway,Hagerstown,21740,Washington County
178,Fahrney-Keedy Memorial Home,8507 Mapleville Road,Boonsboro,21713,Washington County
179,Homewood Living Williamsport,16505 Virginia Avenue,Williamsport,21795,Washington County
180,Julia Manor Health Care Center,333 Mill Street,Hagerstown,21740,Washington County
181,Creekside Center for Rehabilitation and Nursing,1183 Luther Drive,Hagerstown,21740,Washington County
182,Williamsport Health and Rehabilitation Center,154 N. Artizan Street,Williamsport,21795,Washington County
183,Sterling Care South Mountain,141 S. Main Street,Boonsboro,21713,Washington County
184,Western Maryland Hospital Center,1500 Pennsylvania Avenue,Hagerstown,21742,Washington County
185,Deer's Head Hospital Center - CCF,351 Deers Head Hospital Road,Salisbury,21801,Wicomico County
186,Bay Harbor Post Acute Health Care Center,200 Civic Avenue,Salisbury,21804,Wicomico County
187,Wicomico Nursing Home,900 Booth Street,Salisbury,21801,Wicomico County
188,Anchorage Healthcare Center,105 Times Square,Salisbury,21801,Wicomico County
189,Hartley Nursing and Rehab,1006 Market Street,Pocomoke City,21851,Worcester County
190,Berlin Nursing & Rehabilitation Center,9715 Healthway Drive,Berlin,21811,Worcester County
191,Snow Hill Rehabilitation and Healthcare Center,430 W. Market Street,Snow Hill,21863,Worcester County
192,FutureCare - Canton Harbor,1300 South Ellwood Avenue,Baltimore,21224,Baltimore city
193,Autumn Lake Healthcare at Alice Manor,2095 Rockrose Avenue,Baltimore,21211,Baltimore city
194,Mercy Hospital TCU,301 St. Paul Place,Baltimore,21201,Baltimore city
195,Carroll Park Healthcare,3330 Wilkens Avenue,Baltimore,21229,Baltimore city
196,Roland Park SNF Operations LLC,4669 Falls Road,Baltimore,21209,Baltimore city
197,Autumn Lake Healthcare at Homewood,6000 Bellona Avenue,Baltimore,21212,Baltimore city
198,FutureCare-Homewood,2700 North Charles Street,Baltimore,21218,Baltimore city
199,Autumn Lake Healthcare at Overlea,6116 Belair Road,Baltimore,21206,Baltimore city
200,Autumn Lake Healthcare at Bridge Park,4017 Liberty Heights Avenue,Baltimore,21207,Baltimore County
201,FutureCare Cold Spring,4700 Harford Road,Baltimore,21214,Baltimore city
202,Blue Point Healthcare Center,2525 W. Belvedere Avenue,Baltimore,21215,Baltimore city
203,St. Elizabeth Rehabilitation and Nursing Center,3320 Benson Avenue,Baltimore,21227,Baltimore County
204,Northwest Healthcare Center,4601 Pall Mall Drive,Baltimore,21215,Baltimore city
205,Keswick Multi-Care Center,700 W. 40th Street,Baltimore,21211,Baltimore city
206,Levindale Hebrew Geriatric Center,2434 W. Belvedere Avenue,Baltimore,21215,Baltimore city
207,Fayette Health & Rehabilitation Center,1217 W. Fayette Street,Baltimore,21223,Baltimore city
208,Autumn Lake Healthcare at Long Green,115 E. Melrose Avenue,Baltimore,21212,Baltimore city
209,FutureCare Good Samaritan,1601 East Belvedere Ave,Baltimore,21239,Baltimore city
210,Autumn Lake Healthcare at Arlington West,3939 Penhurst Avenue,Baltimore,21215,Baltimore city
211,Maryland Baptist Aged Home,2801 Rayner Ave,Baltimore,21216,Baltimore city
212,FutureCare Irvington,22-30 South Athol Avenue,Baltimore,21229,Baltimore city
213,Autumn Lake Healthcare Post Acute Care Center,5009 Frankford Avenue,Baltimore,21206,Baltimore city
214,Roland Park Place,830 West 40th Street,Baltimore,21211,Baltimore city
215,FutureCare Lochearn,4800 Seton Drive,Baltimore,21215,Baltimore city
216,FutureCare Sandtown,1000 North Gilmor Street,Baltimore,21217,Baltimore city
217,Westgate Hills Rehabilitation & Healthcare Cent,10 N. Rock Glen Road,Baltimore,21229,Baltimore city
218,FutureCare Charles Village,2327 N. Charles Street,Baltimore,21218,Baltimore city
219,The Nursing and Rehabilitation Center at Stadiu,1010 East 33rd Street,Baltimore,21218,Baltimore city
